Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2014-11-07,30930.04,30693.7,30999.71,30672.31,158280000.0,0.87,77.560011173807,30371.568256609527,30145.809024644317,225.759231965214,161.75851532494923,64.00071664026476,0.008683208658554209,0.0013680586911123892,0.005105475108357828,Bull,False,True,False
2014-11-10,31281.83,30954.56,31395.01,30954.56,195450000.0,1.14,80.72584545868098,30511.608524823445,30229.958726522516,281.64979830093216,185.73677192014583,95.91302638078632,0.01137373246203377,0.002143184955408728,0.005395579877519693,Bull,False,True,False
2014-11-11,31303.63,31286.73,31372.16,31233.37,130940000.0,0.07,80.90562024628912,30633.45798254292,30309.489931965287,323.9680505776305,213.38302765164275,110.58502292598774,0.0006968901755428636,0.0018783357458622696,0.005326173800221031,Bull,False,True,False
2014-11-12,31629.2,31327.83,31746.54,31327.83,201460000.0,1.04,83.39636485134993,30786.649062151697,30407.246233301197,379.4028288505033,246.58698789141488,132.8158409590884,0.010400391264527409,0.00200745558983747,0.005506010431119527,Bull,False,True,False
2014-11-13,31441.82,31648.96,31855.83,31391.65,160840000.0,-0.59,77.1580349253235,30887.44459105144,30483.881327130734,403.5632639207033,277.9822430972726,125.58102082343072,-0.005924272507682793,0.0017757110559737776,0.005744452378930866,Bull,False,True,False
2014-11-14,31344.07,31448.13,31494.96,31293.97,147140000.0,-0.31,74.0462986135741,30957.6946539666,30547.59900660253,410.0956473640727,304.4049239506326,105.69072341344004,-0.0031089167230141657,0.002006080246036024,0.005427395590247258,Bull,False,True,False
2014-11-17,31702.79,31381.04,31765.91,31381.04,172780000.0,1.14,77.61423482496936,31072.32470720251,30633.16870981716,439.15599738535457,331.35513863757706,107.80085874777753,0.011444589040287445,0.0028082822188739143,0.005583140447100876,Bull,False,True,False
2014-11-18,32006.4,31765.02,32021.99,31661.88,212120000.0,0.96,80.10690745520257,31216.028598402125,30734.889546127,481.1390522751281,361.3119213650873,119.82713091004076,0.009576759647967892,0.0034528004575555713,0.0055832663267740045,Bull,False,True,False
2014-11-19,31756.29,32072.32,32224.79,31697.78,187620000.0,-0.78,72.90495854038885,31299.14573710949,30810.54883900648,488.5968981030128,386.7689167126724,101.82798139034036,-0.007814374625074949,0.0033498363434600166,0.0057776170054669685,Bull,False,True,False
2014-11-20,31239.04,31760.8,31760.8,31026.52,180060000.0,-1.63,60.74237198315393,31289.898700631107,30842.288925006,447.6097756251074,398.9370884951594,48.67268712994803,-0.016288111741012523,0.002563787142839791,0.007226359779111377,Bull,False,True,False
