Date,EPU
2016-07-27,66.26226163
2016-07-28,66.26226163
2016-07-29,66.26226163
2016-07-30,66.26226163
2016-07-31,66.26226163
2016-08-01,28.22070331
2016-08-02,28.22070331
2016-08-03,28.22070331
2016-08-04,28.22070331
2016-08-05,28.22070331
2016-08-06,28.22070331
2016-08-07,28.22070331
2016-08-08,28.22070331
2016-08-09,28.22070331
2016-08-10,28.22070331
2016-08-11,28.22070331
2016-08-12,28.22070331
2016-08-13,28.22070331
2016-08-14,28.22070331
2016-08-15,28.22070331
2016-08-16,28.22070331
2016-08-17,28.22070331
2016-08-18,28.22070331
2016-08-19,28.22070331
2016-08-20,28.22070331
2016-08-21,28.22070331
2016-08-22,28.22070331
2016-08-23,28.22070331
2016-08-24,28.22070331
2016-08-25,28.22070331
2016-08-26,28.22070331
2016-08-27,28.22070331
2016-08-28,28.22070331
2016-08-29,28.22070331
2016-08-30,28.22070331
2016-08-31,28.22070331
2016-09-01,42.47059705
2016-09-02,42.47059705
2016-09-03,42.47059705
2016-09-04,42.47059705
2016-09-05,42.47059705
2016-09-06,42.47059705
2016-09-07,42.47059705
2016-09-08,42.47059705
2016-09-09,42.47059705
2016-09-10,42.47059705
2016-09-11,42.47059705
2016-09-12,42.47059705
2016-09-13,42.47059705
2016-09-14,42.47059705
2016-09-15,42.47059705
2016-09-16,42.47059705
2016-09-17,42.47059705
2016-09-18,42.47059705
2016-09-19,42.47059705
2016-09-20,42.47059705
2016-09-21,42.47059705
2016-09-22,42.47059705
2016-09-23,42.47059705
2016-09-24,42.47059705
2016-09-25,42.47059705
2016-09-26,42.47059705
2016-09-27,42.47059705
2016-09-28,42.47059705
2016-09-29,42.47059705
2016-09-30,42.47059705
2016-10-01,58.68064956
2016-10-02,58.68064956
2016-10-03,58.68064956
2016-10-04,58.68064956
2016-10-05,58.68064956
2016-10-06,58.68064956
2016-10-07,58.68064956
2016-10-08,58.68064956
2016-10-09,58.68064956
2016-10-10,58.68064956
2016-10-11,58.68064956
2016-10-12,58.68064956
2016-10-13,58.68064956
2016-10-14,58.68064956
2016-10-15,58.68064956
2016-10-16,58.68064956
2016-10-17,58.68064956
2016-10-18,58.68064956
2016-10-19,58.68064956
2016-10-20,58.68064956
2016-10-21,58.68064956
2016-10-22,58.68064956
2016-10-23,58.68064956
2016-10-24,58.68064956
2016-10-25,58.68064956
2016-10-26,58.68064956
2016-10-27,58.68064956
2016-10-28,58.68064956
2016-10-29,58.68064956
2016-10-30,58.68064956
2016-10-31,58.68064956
2016-11-01,57.66794524
2016-11-02,57.66794524
2016-11-03,57.66794524
2016-11-04,57.66794524
2016-11-05,57.66794524
2016-11-06,57.66794524
2016-11-07,57.66794524
2016-11-08,57.66794524
2016-11-09,57.66794524
2016-11-10,57.66794524
2016-11-11,57.66794524
2016-11-12,57.66794524
2016-11-13,57.66794524
2016-11-14,57.66794524
2016-11-15,57.66794524
2016-11-16,57.66794524
2016-11-17,57.66794524
2016-11-18,57.66794524
2016-11-19,57.66794524
2016-11-20,57.66794524
2016-11-21,57.66794524
2016-11-22,57.66794524
2016-11-23,57.66794524
2016-11-24,57.66794524
2016-11-25,57.66794524
2016-11-26,57.66794524
2016-11-27,57.66794524
2016-11-28,57.66794524
2016-11-29,57.66794524
2016-11-30,57.66794524
2016-12-01,39.70024444
2016-12-02,39.70024444
2016-12-03,39.70024444
2016-12-04,39.70024444
2016-12-05,39.70024444
2016-12-06,39.70024444
2016-12-07,39.70024444
2016-12-08,39.70024444
2016-12-09,39.70024444
2016-12-10,39.70024444
2016-12-11,39.70024444
2016-12-12,39.70024444
2016-12-13,39.70024444
2016-12-14,39.70024444
2016-12-15,39.70024444
2016-12-16,39.70024444
2016-12-17,39.70024444
2016-12-18,39.70024444
2016-12-19,39.70024444
2016-12-20,39.70024444
2016-12-21,39.70024444
2016-12-22,39.70024444
2016-12-23,39.70024444
2016-12-24,39.70024444
2016-12-25,39.70024444
2016-12-26,39.70024444
2016-12-27,39.70024444
2016-12-28,39.70024444
2016-12-29,39.70024444
2016-12-30,39.70024444
2016-12-31,39.70024444
2017-01-01,48.2064383
2017-01-02,48.2064383
2017-01-03,48.2064383
2017-01-04,48.2064383
2017-01-05,48.2064383
2017-01-06,48.2064383
2017-01-07,48.2064383
2017-01-08,48.2064383
2017-01-09,48.2064383
2017-01-10,48.2064383
2017-01-11,48.2064383
2017-01-12,48.2064383
2017-01-13,48.2064383
2017-01-14,48.2064383
2017-01-15,48.2064383
2017-01-16,48.2064383
2017-01-17,48.2064383
2017-01-18,48.2064383
2017-01-19,48.2064383
2017-01-20,48.2064383
2017-01-21,48.2064383
2017-01-22,48.2064383
2017-01-23,48.2064383
2017-01-24,48.2064383
2017-01-25,48.2064383
2017-01-26,48.2064383
2017-01-27,48.2064383
2017-01-28,48.2064383
2017-01-29,48.2064383
2017-01-30,48.2064383
2017-01-31,48.2064383
2017-02-01,34.35003469
2017-02-02,34.35003469
2017-02-03,34.35003469
2017-02-04,34.35003469
2017-02-05,34.35003469
2017-02-06,34.35003469
2017-02-07,34.35003469
2017-02-08,34.35003469
2017-02-09,34.35003469
2017-02-10,34.35003469
2017-02-11,34.35003469
2017-02-12,34.35003469
2017-02-13,34.35003469
2017-02-14,34.35003469
2017-02-15,34.35003469
2017-02-16,34.35003469
2017-02-17,34.35003469
2017-02-18,34.35003469
2017-02-19,34.35003469
2017-02-20,34.35003469
2017-02-21,34.35003469
2017-02-22,34.35003469
2017-02-23,34.35003469
2017-02-24,34.35003469
2017-02-25,34.35003469
2017-02-26,34.35003469
2017-02-27,34.35003469
2017-02-28,34.35003469
2017-03-01,38.38165778
2017-03-02,38.38165778
2017-03-03,38.38165778
2017-03-04,38.38165778
2017-03-05,38.38165778
2017-03-06,38.38165778
2017-03-07,38.38165778
2017-03-08,38.38165778
2017-03-09,38.38165778
2017-03-10,38.38165778
2017-03-11,38.38165778
2017-03-12,38.38165778
2017-03-13,38.38165778
2017-03-14,38.38165778
2017-03-15,38.38165778
2017-03-16,38.38165778
2017-03-17,38.38165778
2017-03-18,38.38165778
2017-03-19,38.38165778
2017-03-20,38.38165778
2017-03-21,38.38165778
2017-03-22,38.38165778
2017-03-23,38.38165778
2017-03-24,38.38165778
2017-03-25,38.38165778
2017-03-26,38.38165778
2017-03-27,38.38165778
2017-03-28,38.38165778
2017-03-29,38.38165778
2017-03-30,38.38165778
2017-03-31,38.38165778
