Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-04-09,114153.16,115092.12,115092.12,112891.49,267600000.00000003,-1.19,43.29701005912857,116350.84653419221,115824.82247521548,526.0240589767345,892.3521674281374,-366.32810845140284
2025-04-10,116189.21,117094.15,117484.17,116130.9,391050000.0,1.78,51.46782887966583,116325.97937508572,115851.81414371805,474.165231367675,808.714780216045,-334.54954884837
2025-04-11,114853.33,115937.38,115937.38,114639.92,250710000.0,-1.15,46.71174600171398,116099.41793276483,115777.85235529448,321.5655774703482,711.2849396669056,-389.7193621965574
2025-04-14,116390.04,115448.73,116494.2,115246.21,273770000.0,1.34,52.18546677024765,116144.12902003179,115823.19958823563,320.9294317961612,633.2138380927568,-312.28440629659553
2025-04-15,116775.5,116739.03,117362.23,116645.69,215170000.0,0.33,53.47637907277647,116241.26301694996,115893.74035947744,347.52265747252386,576.0756019687102,-228.55294449618634
2025-04-16,116020.11,117187.51,117424.04,115776.12,248070000.0,-0.65,50.59361482771561,116207.23947588073,115903.10107359022,304.1384022905113,521.6881620330704,-217.5497597425591
2025-04-17,116901.13,116073.7,117216.03,115818.07,221690000.0,0.76,53.72673124647196,116313.99186420676,115977.02914221317,336.96272199359373,484.74307402517513,-147.7803520315814
2025-04-18,117315.59,117360.6,117888.13,116759.07,212790000.0,0.35,55.16709399667479,116468.08388509804,116076.18179834553,391.9020867525105,466.17487657064225,-74.27278981813174
2025-04-21,118383.38,117712.7,118827.47,117712.7,367340000.0,0.91,58.73120635054207,116762.74482585218,116247.08536883845,515.659457013724,476.0717926592587,39.587664354465346
2025-04-22,118430.35,118546.17,119217.19,118161.68,353610000.0,0.04,58.88603923599882,117019.29946802877,116408.80867485041,610.4907931783528,502.95559276307756,107.5352004152752
2025-04-23,117226.15,118422.67,118811.24,117120.39,242520000.0,-1.02,53.358777270783136,117051.12262679357,116469.35247671335,581.7701500802214,518.7185042265063,63.05164585371506
2025-04-24,115019.82,115269.3,116568.14,114661.2,197690000.0,-1.88,45.020690879398394,116738.61453036379,116361.97970066051,376.63482970328187,490.30176932186146,-113.66693961857959
2025-04-25,115469.35,115099.65,115844.89,113716.6,213620000.0,0.39,46.84329142853225,116543.34306415397,116295.85898209306,247.4840820609097,441.73823186967115,-194.25414980876144
2025-04-28,114063.9,116305.7,116658.95,113867.81,190220000.0,-1.22,42.13974412744622,116161.89028505336,116130.52868712321,31.36159793015395,359.66290508176775,-328.3013071516138
2025-04-29,114872.18,113869.98,115040.59,112935.57,185490000.0,0.71,45.527312221505454,115963.47331812208,116037.31767326224,-73.84435514015786,272.9614530373826,-346.8058081775405
2025-04-30,111326.58,114066.13,114066.13,110631.84,254490000.0,-3.09,35.663509969372214,115250.10511533407,115688.37414190947,-438.2690265754063,130.71535711482483,-568.9843836902312
2025-05-02,114113.94,112820.08,114546.88,112820.08,192300000.0,2.5,45.635381951341905,115075.31048220575,115571.74939065691,-496.438908451164,5.284504001627056,-501.7234124527911
2025-05-05,114102.24,114385.61,114552.21,113077.67,153680000.0,-0.01,45.603430225333334,114925.60733109717,115462.89684320084,-537.2895121036709,-103.23029921943252,-434.0592128842383
2025-05-06,113568.51,114392.83,115093.11,113418.52,165330000.0,-0.47,44.08699600066437,114716.82312631299,115322.57189185263,-605.7487655396399,-203.733992483474,-402.01477305616584
2025-05-07,110009.03,107007.68,112457.38,107007.68,261520000.0,-3.13,35.58781596766329,113992.54726072637,114928.97619615984,-936.428935433476,-350.2729810734744,-586.1559543600016
2025-05-08,103526.82,110842.45,111881.03,101598.91,308030000.0,-5.89,25.824135867662562,112382.43537446077,114084.37203348134,-1701.9366590205755,-620.6057166628946,-1081.330942357681
2025-05-09,107174.64,103949.69,107541.45,102420.82,238400000.0,3.52,36.39892359670637,111581.23608608218,113572.54003100123,-1991.3039449190546,-894.7453623141266,-1096.558582604928
2025-05-12,117297.73,117104.12,117327.78,115794.37,345350000.0,9.45,55.40092287545859,112460.69668822337,113848.48002870484,-1387.7833404814737,-993.3529579475961,-394.4303825338776
2025-05-13,118575.89,120067.12,120067.12,116859.93,366250000.0,1.09,57.14202130434774,113401.49565926593,114198.65854509707,-797.1628858311451,-954.114943524306,156.9520576931609
2025-05-14,118536.53,118950.61,119460.54,118148.65,273520000.0,-0.03,57.06813810283818,114191.50094245578,114519.98235657137,-328.4814141155948,-828.9882376425638,500.506823526969
