Date,Close,Open,High,Low,Volume,Change
2015-12-30,32825.03,32864.12,32961.78,32734.06,57890000.0,0.04
2015-12-31,32816.31,32835.27,32856.02,32735.83,59800000.0,-0.03
2016-01-01,33228.95,32841.49,33256.85,32828.36,73480000.0,1.26
2016-01-04,33009.13,33265.58,33304.4,32968.63,68940000.0,-0.66
2016-01-05,32983.47,32804.32,33027.33,32515.05,99320000.0,-0.08
2016-01-06,32968.26,33036.63,33123.53,32930.37,61270000.0,-0.05
2016-01-07,32682.5,32964.65,32964.65,32652.39,79280000.0,-0.87
2016-01-08,32534.85,32716.16,32775.4,32476.63,71870000.0,-0.45
2016-01-11,32320.05,32535.57,32555.21,32290.4,51900000.0,-0.66
2016-01-12,32265.65,32275.02,32330.19,32005.46,77890000.0,-0.17
2016-01-13,32154.17,32323.39,32484.31,32059.54,73200000.0,-0.35
2016-01-14,31441.02,32093.21,32093.21,31364.13,120380000.0,-2.22
2016-01-15,31001.49,31433.49,31637.22,30887.74,88230000.0,-1.4
2016-01-18,30628.4,30901.0,30901.0,29785.0,142730000.0,-1.2
2016-01-19,31092.61,30642.82,31136.3,30549.86,98640000.0,1.52
2016-01-20,30766.01,31079.31,31079.31,30689.84,76450000.0,-1.05
2016-01-21,30751.8,30808.38,31029.17,30705.53,93180000.0,-0.05
2016-01-22,30949.02,30771.42,30998.3,30771.42,74760000.0,0.64
2016-01-25,31065.13,31089.65,31322.59,30978.4,72130000.0,0.38
2016-01-26,31074.38,30962.95,31140.11,30886.29,72900000.0,0.03
2016-01-27,31101.38,31146.57,31386.21,31065.72,78490000.0,0.09
2016-01-28,31193.73,31119.17,31247.85,31052.13,52220000.0,0.3
2016-01-29,31298.6,31267.6,31461.52,31261.36,106290000.0,0.34
2016-02-01,31878.15,31417.13,31889.51,31416.82,103580000.0,1.85
2016-02-02,31960.61,31866.77,32172.53,31866.77,106680000.0,0.26
2016-02-03,32084.06,31886.11,32183.73,31778.81,81500000.0,0.39
2016-02-04,32478.98,32134.78,32504.12,32134.78,88250000.0,1.23
2016-02-08,32706.22,32474.6,32851.23,32463.44,86610000.0,0.7
2016-02-09,32444.2,32710.82,32716.32,32421.02,91630000.0,-0.8
2016-02-10,32144.59,32401.41,32464.18,32104.55,109890000.0,-0.92
2016-02-11,31820.54,32150.97,32204.38,31782.57,64920000.0,-1.01
2016-02-12,31464.16,31838.37,31911.96,31389.2,86600000.0,-1.12
2016-02-15,31928.15,31604.18,31970.85,31604.18,59140000.0,1.47
2016-02-16,31673.16,32026.39,32159.26,31608.7,113480000.0,-0.8
2016-02-17,31469.7,31705.86,31705.86,31334.41,65790000.00000001,-0.64
2016-02-18,31282.44,31577.75,31707.89,31249.36,84330000.0,-0.6
2016-02-19,31011.77,31295.0,31295.0,30946.36,70080000.0,-0.87
2016-02-22,30677.68,31027.35,31062.84,30599.74,62890000.0,-1.08
2016-02-23,30564.5,30731.01,30841.53,30275.61,111420000.0,-0.37
2016-02-24,30786.6,30506.85,30897.44,30474.37,85230000.0,0.73
2016-02-25,30802.53,30828.91,30936.71,30712.85,77380000.0,0.05
