date,title,url,raw_text
2020-01-08,Strike by millions of workers in India hits businesses,https://www.dawn.com/news/1527032/strike-by-millions-of-workers-in-india-hits-businesses,"Banking and other businesses across India suffered on Wednesday as millions of workers went on strike protesting the Hindu nationalist government's economic policies, especially the planned sale of several state-owned companies including Air India."
2020-01-08,"Oil up, stocks down after Iran missile attack on US troops",https://www.dawn.com/news/1527017/oil-up-stocks-down-after-iran-missile-attack-on-us-troops,Oil prices rose and Asian stock markets fell Wednesday after Iran fired missiles at US bases in Iraq in retaliation for the killing of an Iranian general.
2020-01-08,Pak Suzuki to shut down production for four days,https://www.dawn.com/news/1526991/pak-suzuki-to-shut-down-production-for-four-days,KARACHI: Pak Suzuki Motor Company (PSMC) on Tuesday announced that it will observe three non-production days — every Monday — during the month of January owing to depressed demand.
2020-01-08,"PSO dues, Wapda loans and Tapi on second ECC meeting agenda",https://www.dawn.com/news/1526990/pso-dues-wapda-loans-and-tapi-on-second-ecc-meeting-agenda,ISLAMABAD: The government has called another meeting of the Economic Coordination Committee (ECC) on Wednesday for constitution of a price negotiation committee for Turkmenistan-Afghanistan-Pakistan-India (Tapi) Pipeline and settlement of about Rs75 billion liabilities to state-run entities.
2020-01-08,Exports fall 4pc in December,https://www.dawn.com/news/1526989/exports-fall-4pc-in-december,ISLAMABAD: Pakistan’s exports of goods declined 3.96 per cent year-on-year in December 2019 despite cash support and multiple currency depreciation.
2020-01-08,Talk of shake-up swirls at FBR,https://www.dawn.com/news/1526987/talk-of-shake-up-swirls-at-fbr,ISLAMABAD: Ms Nausheen Javaid Amjad on Tuesday took over as acting chairman of the Federal Board of Revenue after Shabbar Zaidi applied for a 15-day leave citing health reasons.
2020-01-08,Stocks recover 608 points on value-hunting,https://www.dawn.com/news/1526985/stocks-recover-608-points-on-value-hunting,"KARACHI: Stocks rebounded on Tuesday with the KSE-100 index recouping 608.23 points (1.47 per cent) from the crippling losses of 1,027 points suffered a day earlier."
2020-01-08,PM approves Rs7bn Utility Stores relief package,https://www.dawn.com/news/1526945/pm-approves-rs7bn-utility-stores-relief-package,ISLAMABAD: Special Assistant to the Prime Minister on Information Dr Firdous Ashiq Awan said on Tuesday Prime Minister Imran Khan has approved a Rs7 billion package for providing relief to the poor through the Utility Stores Corporation (USC).
2020-01-09,"Stocks gain 1,166 points as US-Iran war clouds dissipate",https://www.dawn.com/news/1527265/stocks-gain-1166-points-as-us-iran-war-clouds-dissipate,"Stocks rebounded on Thursday with the KSE-100 index recouping 1,165.51 points (2.74 per cent) from the losses of 547 points suffered a day earlier."
2020-01-09,"Airlines face higher fuel bills as they avoid Iran, Iraq amid tensions",https://www.dawn.com/news/1527256/airlines-face-higher-fuel-bills-as-they-avoid-iran-iraq-amid-tensions,"Airlines are facing higher fuel bills as they reroute flights to avoid airspace over Iran and Iraq due to recent heightened tension between Washington and Tehran, adding further financial pressure to an industry already contending with the prolonged grounding of Boeing's 737 MAX jets."
2020-01-09,Tanker owners face insurance headache as Mideast war risk haunts shipping trade,https://www.dawn.com/news/1527250/tanker-owners-face-insurance-headache-as-mideast-war-risk-haunts-shipping-trade,"Even as the United States and Iran appear to signal a keenness to avoid further conflict, oil and gas shipowners are bracing to pay a price for the war of words that culminated in rocket strikes in Iraq over the last week — higher insurance bills."
2020-01-09,"Asian stocks, oil prices rebound as Iran anxiety eases",https://www.dawn.com/news/1527237/asian-stocks-oil-prices-rebound-as-iran-anxiety-eases,Asian stock markets rebounded Thursday as anxiety over potential US-Iranian conflict eased.
2020-01-09,Stocks tumble 547 points on geopolitical noise,https://www.dawn.com/news/1527158/stocks-tumble-547-points-on-geopolitical-noise,KARACHI: Investors awoke to the grim news on Wednesday morning that Iran had responded to the US killing of its military commander Qasem Soleimani by firing a dozen ballistic missiles at two American military facilities in Iraq.
